OBJECTID,POINT_X,POINT_Y
1,-98.49637235,33.91517718
2,-98.49667803,33.91786343
3,-98.49591227,33.92019925
4,-98.49335167,33.92177565
5,-98.49655902,33.92119697
6,-98.49796432,33.91780058
7,-98.50105284,33.9154201
8,-98.5048872,33.91401254
9,-98.5089209,33.91273958
10,-98.51256351,33.91370093
11,-98.51468579,33.91648634
12,-98.51789498,33.91547138
13,-98.52053588,33.91658765
14,-98.51876897,33.91951188
15,-98.51492649,33.91937104
16,-98.51230644,33.91796397
17,-98.51161261,33.91852726
18,-98.5122017,33.92211674
19,-98.51377788,33.92549378
20,-98.51246626,33.92484865
21,-98.51171185,33.92680963
22,-98.50746817,33.92744218
23,-98.50367974,33.9261636
24,-98.50122996,33.92316584
25,-98.4987826,33.92016675
26,-98.49733354,33.91839089
