OBJECTID,POINT_X,POINT_Y
1,-98.49651093,33.91946714
2,-98.49407248,33.91646306
3,-98.49160209,33.91359402
4,-98.49226522,33.91630434
5,-98.4948927,33.91918462
6,-98.4941614,33.92081503
7,-98.49083797,33.9206643
8,-98.48837806,33.91767239
9,-98.48570687,33.91528594
10,-98.48135634,33.91524894
11,-98.47700581,33.9152118
12,-98.47417481,33.91393332
13,-98.46982431,33.9138996
14,-98.46547381,33.91386573
15,-98.46118742,33.91413103
16,-98.45868493,33.91567854
17,-98.45667403,33.91763924
18,-98.45431548,33.91929856
19,-98.45228033,33.92128013
20,-98.44792932,33.92126378
21,-98.44357831,33.92124729
22,-98.4392273,33.92123064
23,-98.4348763,33.92121384
24,-98.43052529,33.92119689
25,-98.42617429,33.92117979
26,-98.42182329,33.92116254
27,-98.41747229,33.92114514
28,-98.41312129,33.92112759
29,-98.40877029,33.92110989
30,-98.4044193,33.92109204
31,-98.40006831,33.92107404
32,-98.39900407,33.9238452
33,-98.39894832,33.92747217
34,-98.39889256,33.93109915
35,-98.39859274,33.93451485
36,-98.39424239,33.93442407
37,-98.39020999,33.93461331
38,-98.39007723,33.93823888
39,-98.38945074,33.94142702
40,-98.38510072,33.94131605
41,-98.38134777,33.94072867
42,-98.38140515,33.93710173
43,-98.38146252,33.93347478
44,-98.38137246,33.92985303
45,-98.38147161,33.9262267
46,-98.3783784,33.92800354
47,-98.37499011,33.93027946
48,-98.37160163,33.93255528
49,-98.36821298,33.93483101
50,-98.36482415,33.93710664
51,-98.36143515,33.93938219
52,-98.35774689,33.94092461
53,-98.35339597,33.94084287
54,-98.34904505,33.94076099
55,-98.34626925,33.93933914
56,-98.3421237,33.93910605
57,-98.33777229,33.93904914
58,-98.33342089,33.93899209
59,-98.3290695,33.93893489
60,-98.32713424,33.94096283
61,-98.32707,33.94439304
62,-98.32690841,33.94799015
63,-98.32687451,33.95161728
64,-98.32684062,33.9552444
65,-98.32680671,33.95887152
66,-98.3238659,33.9611658
67,-98.32020688,33.96313075
68,-98.3165477,33.96509559
69,-98.31288836,33.96706033
70,-98.30922885,33.96902495
71,-98.30556918,33.97098947
72,-98.30190934,33.97295388
73,-98.29824934,33.97491818
74,-98.29458917,33.97688238
75,-98.291412,33.97798325
76,-98.29144024,33.97435613
77,-98.29146847,33.97072901
78,-98.29149671,33.96710187
79,-98.29152494,33.96347474
80,-98.29155317,33.95984759
81,-98.28826034,33.95895197
82,-98.28390751,33.95892805
83,-98.27955468,33.95890398
84,-98.27520185,33.95887976
85,-98.27084902,33.95885539
86,-98.2664962,33.95883087
87,-98.26214338,33.9588062
88,-98.25779056,33.95878138
89,-98.25734428,33.95539529
90,-98.25737825,33.95176817
91,-98.25741222,33.94814104
92,-98.25744619,33.94451391
93,-98.25748015,33.94088677
94,-98.25751411,33.93725962
95,-98.25754807,33.93363247
96,-98.25911121,33.93130012
97,-98.26346263,33.93132861
98,-98.26635661,33.92981226
99,-98.27070804,33.92982951
100,-98.27505947,33.9298466
101,-98.2794109,33.92986355
102,-98.28376234,33.92988035
103,-98.28811378,33.929897
104,-98.29246522,33.92991349
105,-98.29681666,33.92992984
106,-98.3011681,33.92994604
107,-98.30551954,33.92996208
108,-98.30987099,33.92997798
109,-98.31422244,33.92999372
110,-98.31857389,33.93000932
111,-98.32292534,33.93002476
112,-98.32725987,33.93005399
113,-98.32722718,33.93368116
114,-98.32719449,33.93730832
115,-98.32971244,33.93886165
116,-98.33406372,33.93892427
117,-98.33841501,33.93898673
118,-98.34276631,33.93904905
119,-98.34639103,33.93973092
120,-98.34968747,33.94070165
121,-98.35403858,33.9407757
122,-98.35838971,33.94084961
123,-98.36193415,33.93895022
124,-98.36532584,33.93667747
125,-98.36871735,33.93440463
126,-98.37210868,33.9321317
127,-98.37549984,33.92985867
128,-98.37889082,33.92758555
129,-98.38152352,33.92659788
130,-98.38143506,33.9302244
131,-98.38154178,33.93384533
132,-98.38147668,33.93747219
133,-98.38141158,33.94109904
134,-98.38568209,33.94126931
135,-98.38989713,33.94125651
136,-98.39002448,33.93763081
137,-98.39046495,33.93428064
138,-98.3948153,33.93437085
139,-98.39878298,33.9341305
140,-98.39882833,33.93050343
141,-98.39887368,33.92687635
142,-98.39891902,33.92324927
143,-98.40040408,33.92084425
144,-98.40475499,33.9208717
145,-98.4058992,33.91819811
146,-98.40632879,33.91491694
147,-98.41067936,33.91488512
148,-98.4150113,33.91464553
149,-98.41934758,33.91480412
150,-98.42368678,33.91462009
151,-98.42799875,33.91414372
152,-98.43234429,33.91400198
153,-98.4366948,33.91396884
154,-98.44104531,33.91393555
155,-98.44539581,33.91390211
156,-98.44974211,33.91398277
157,-98.45409273,33.91400452
158,-98.45433344,33.91738014
159,-98.45852978,33.91754811
160,-98.45862804,33.91393776
161,-98.46295475,33.91385708
162,-98.46726846,33.91370388
163,-98.47161891,33.91374162
164,-98.47596936,33.91377922
165,-98.48031292,33.91389929
166,-98.48399365,33.91448283
167,-98.48582899,33.91449989
