OBJECTID,POINT_X,POINT_Y
186,-98.16643421,33.97408636
187,-98.16710431,33.97050238
188,-98.16777436,33.96691839
189,-98.16857619,33.9633548
190,-98.16949537,33.95980937
191,-98.17282221,33.95876804
192,-98.17717502,33.95879365
193,-98.18152783,33.9588191
194,-98.18588065,33.95884441
195,-98.19023346,33.95886956
196,-98.19458629,33.95889457
197,-98.19893911,33.95891942
198,-98.20328781,33.95905024
199,-98.20763346,33.95926016
200,-98.2119762,33.95929628
201,-98.21631695,33.95906267
202,-98.22066986,33.95907367
203,-98.22502278,33.95908451
204,-98.2293757,33.95909521
205,-98.23372861,33.95910575
206,-98.23808153,33.95911615
207,-98.23989476,33.95693028
208,-98.24424756,33.95694286
209,-98.24860036,33.95695529
210,-98.25295316,33.95696758
211,-98.25730597,33.95697971
212,-98.25742519,33.95343948
213,-98.25744076,33.94981227
214,-98.25745632,33.94618505
215,-98.25747188,33.94255783
216,-98.25748744,33.9389306
217,-98.257503,33.93530336
218,-98.25751856,33.93167612
219,-98.26146828,33.931355
220,-98.26553062,33.93106917
221,-98.26870053,33.92984991
222,-98.27305198,33.92986497
223,-98.27740342,33.92987988
224,-98.28175487,33.92989464
225,-98.28610632,33.92990926
226,-98.29045777,33.92992371
227,-98.29480922,33.92993802
228,-98.29916067,33.92995218
229,-98.30351213,33.92996619
230,-98.30786359,33.92998005
231,-98.31221504,33.92999376
232,-98.3165665,33.93000732
233,-98.32091796,33.93002073
234,-98.32526942,33.93003398
235,-98.32729357,33.92807222
236,-98.32735544,33.92444532
237,-98.32741731,33.9208184
238,-98.32747917,33.91719148
239,-98.32754103,33.91356455
240,-98.32760288,33.90993762
241,-98.33145929,33.90955674
242,-98.33580948,33.90959811
243,-98.34015967,33.90963934
244,-98.34450987,33.90968041
245,-98.34655069,33.91159256
246,-98.34909731,33.91312988
247,-98.35297797,33.9136089
248,-98.35295905,33.91723616
249,-98.35522075,33.91900668
250,-98.35957088,33.91907685
251,-98.36392102,33.91914686
252,-98.36827116,33.91921672
253,-98.37262131,33.91928643
254,-98.37697147,33.91935599
255,-98.38132164,33.9194254
256,-98.38153126,33.92281621
257,-98.38145875,33.92593405
