OBJECTID,POINT_X,POINT_Y
1,-98.49708317,33.91806007
2,-98.49952994,33.921059
3,-98.50196487,33.92406497
4,-98.50459613,33.92692928
5,-98.50874445,33.92713347
6,-98.51301364,33.92695209
7,-98.51728542,33.92764073
8,-98.52155998,33.9283191
9,-98.52583863,33.92897944
10,-98.53012018,33.929627
11,-98.53439956,33.93028435
12,-98.53868004,33.93093688
13,-98.54295283,33.93162386
14,-98.54722886,33.93229674
15,-98.55150524,33.93296831
16,-98.55578279,33.93363486
17,-98.56006044,33.93430113
18,-98.56433805,33.93496766
19,-98.56861593,33.93563316
20,-98.57289432,33.93629655
21,-98.5771727,33.93696008
22,-98.58145005,33.93762836
23,-98.58572802,33.93829408
24,-98.590006,33.93895984
25,-98.59428175,33.93963562
26,-98.59856174,33.94029264
27,-98.6028426,33.94094588
28,-98.60712067,33.94161181
29,-98.61139813,33.94228063
30,-98.61567351,33.94295878
31,-98.61994895,33.94363678
32,-98.62422546,33.94431026
33,-98.62850601,33.9449658
34,-98.6327878,33.94561582
35,-98.63706797,33.94627336
36,-98.64134813,33.94693111
37,-98.64562862,33.9475875
38,-98.6499091,33.94824407
39,-98.65418724,33.94891133
40,-98.65846405,33.94958374
41,-98.66274477,33.95023929
42,-98.66703091,33.95087018
43,-98.67042676,33.95083076
44,-98.67471016,33.95147454
45,-98.67898754,33.95214528
46,-98.68327018,33.95279109
47,-98.68754366,33.95347934
48,-98.69182197,33.95414695
49,-98.69610157,33.95480895
50,-98.70038124,33.9554708
51,-98.70466096,33.95613251
52,-98.70894076,33.95679407
53,-98.71322062,33.95745549
54,-98.71749835,33.95812619
55,-98.72112289,33.95927065
56,-98.72104405,33.96289727
57,-98.72204991,33.96578649
58,-98.72558463,33.96536696
59,-98.72512367,33.9682354
60,-98.72190633,33.96634775
61,-98.7175715,33.96610135
62,-98.71321869,33.96612015
63,-98.70929884,33.96645484
64,-98.70504416,33.96609911
65,-98.70069088,33.96610035
66,-98.69633761,33.9661091
67,-98.69199195,33.96623602
68,-98.69059715,33.96869405
69,-98.69061799,33.9723211
70,-98.69064197,33.97594822
71,-98.69065134,33.9795754
72,-98.69066071,33.98320259
73,-98.69067009,33.98682976
74,-98.69067946,33.99045693
75,-98.69074776,33.99407919
76,-98.69467264,33.994821
77,-98.69902734,33.99481542
78,-98.70338205,33.99480969
79,-98.70773676,33.99480382
80,-98.71209146,33.99479779
81,-98.71452461,33.99704568
82,-98.71453231,34.00067284
83,-98.71454001,34.00429998
84,-98.71454771,34.00792713
85,-98.71455159,34.01155427
86,-98.71455309,34.0151814
87,-98.71455458,34.01880853
88,-98.71455608,34.02243565
89,-98.71455758,34.02606277
90,-98.71450291,34.02968147
91,-98.71022007,34.02984081
92,-98.70586362,34.02983356
93,-98.70150718,34.02982616
94,-98.69715073,34.02981861
95,-98.69425133,34.03101638
96,-98.6921542,34.0328942
97,-98.68779771,34.03291998
98,-98.6834412,34.0329456
99,-98.6790847,34.03297108
100,-98.67689527,34.0347711
101,-98.67693673,34.03839803
102,-98.67739013,34.04200401
103,-98.67773054,34.04562001
104,-98.67950803,34.04886228
105,-98.67947346,34.05248903
106,-98.67943369,34.05611595
107,-98.67939392,34.05974286
108,-98.67935414,34.06336976
109,-98.67931518,34.06699666
110,-98.67927674,34.07062356
111,-98.67923831,34.07425046
112,-98.67919987,34.07787735
113,-98.6763244,34.07936851
114,-98.67196556,34.07934545
115,-98.66760673,34.07932224
116,-98.6632479,34.07929888
117,-98.65888907,34.07927537
118,-98.65453024,34.07925171
119,-98.65106352,34.08104941
120,-98.64715167,34.08217259
121,-98.64279263,34.08216101
122,-98.63843358,34.08214928
123,-98.63407455,34.0821374
124,-98.62971557,34.08213186
125,-98.6253566,34.08210846
126,-98.62099763,34.0820849
127,-98.61663866,34.0820612
128,-98.61227969,34.08203785
129,-98.60792072,34.08201571
130,-98.60356203,34.08197663
131,-98.5992049,34.0818697
132,-98.59549772,34.0812226
133,-98.59278085,34.07987259
134,-98.58842266,34.07994009
135,-98.58406479,34.08002077
136,-98.58246213,34.07753907
137,-98.58018297,34.0744807
138,-98.57716186,34.07190778
139,-98.57297122,34.0710059
140,-98.56866738,34.07043332
141,-98.56612019,34.06780463
142,-98.56592287,34.06418248
143,-98.56587546,34.06055631
144,-98.56549912,34.05698496
145,-98.56168534,34.05575673
146,-98.55807286,34.05472101
147,-98.55756093,34.05123709
148,-98.55800402,34.04762882
149,-98.55844708,34.04402054
150,-98.55886658,34.04041075
151,-98.5586037,34.03679474
152,-98.55815234,34.03318716
153,-98.55716282,34.02966114
154,-98.55600539,34.02616439
155,-98.55486022,34.02266484
156,-98.55371514,34.01916528
157,-98.55257015,34.01566571
158,-98.55142481,34.01216622
159,-98.550275,34.00866775
160,-98.549137,34.00516662
161,-98.54798874,34.00166781
162,-98.54681801,33.99817418
163,-98.54566227,33.99467711
164,-98.54451311,33.99117852
165,-98.5431887,33.98772744
166,-98.54116702,33.98451753
167,-98.53916656,33.9819361
168,-98.53521662,33.98345914
169,-98.53090396,33.98379273
170,-98.52655001,33.98382026
171,-98.52247688,33.98279723
172,-98.51823238,33.98250372
173,-98.51388796,33.98245222
174,-98.50953407,33.98241733
175,-98.50829109,33.97952273
176,-98.5083302,33.97589568
177,-98.50836931,33.97226863
178,-98.50840842,33.96864157
179,-98.50933624,33.96576897
180,-98.5124732,33.96466059
181,-98.51213899,33.96127712
182,-98.51035451,33.95796921
183,-98.50860451,33.95464843
184,-98.5068675,33.95132256
185,-98.50515395,33.9479886
186,-98.50343806,33.94465516
187,-98.50171306,33.94132499
188,-98.50078603,33.93784569
189,-98.50073263,33.9342187
190,-98.50053026,33.9306051
191,-98.49955173,33.92732283
192,-98.49711715,33.92431647
193,-98.49963913,33.92210825
